id,name,address,city,state,zipCode,phone,email,website,category,openingHours/monday,openingHours/tuesday,openingHours/wednesday,openingHours/thursday,openingHours/friday,openingHours/saturday,openingHours/sunday
15,PetShop Bichinhos,"Rua dos Animais, 808",Brasília,DF,70080-000,(61) 8901-2345,contato@petshopbichinhos.com.br,,Pet Shop,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
16,Móveis Planejados,"Avenida dos Móveis, 909",Belo Horizonte,MG,31090-000,(31) 9012-3456,vendas@moveisplanejados.com.br,http://www.moveisplanejados.com.br,Móveis,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-16:00,Fechado
17,Loja de Esportes,"Rua do Esporte, 1001",São Paulo,SP,01001-000,(11) 2345-6789,contato@lojadeesportes.com.br,,Esportes,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-16:00,Fechado
18,Auto Peças,"Avenida dos Carros, 2020",Rio de Janeiro,RJ,22020-000,(21) 3456-7890,vendas@autopecas.com.br,,Auto Peças,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-12:00,Fechado
19,Boutique Elegância,"Rua da Moda, 303",Fortaleza,CE,60030-000,(85) 4567-8901,contato@boutiqueelegancia.com.br,,Roupas,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
20,Cafeteria do Centro,"Rua do Café, 404",Recife,PE,50040-000,(81) 5678-9012,contato@cafeteriadocentro.com.br,,Cafeteria,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,08:00-18:00,08:00-12:00
21,Papelaria Escolar,"Rua dos Estudantes, 505",Manaus,AM,69050-000,(92) 6789-0123,vendas@papelariaescolar.com.br,,Papelaria,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
22,Loja de Tecidos,"Rua dos Tecidos, 606",Curitiba,PR,80060-000,(41) 7890-1234,contato@lojadetecidos.com.br,,Tecidos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
23,Casa do Pão de Queijo,"Avenida dos Lanches, 707",Belo Horizonte,MG,31070-000,(31) 8901-2345,contato@casadopaodequeijo.com.br,,Lanchonete,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-18:00,08:00-12:00
24,Loja de Calçados,"Rua dos Sapatos, 808",São Paulo,SP,01008-000,(11) 9012-3456,vendas@lojadetecidos.com.br,,Calçados,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
25,Joalheria Fina,"Rua das Jóias, 909",Rio de Janeiro,RJ,22090-000,(21) 0123-4567,vendas@joalheriafina.com.br,http://www.joalheriafina.com.br,Joalheria,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
26,Loja de Celulares,"Avenida das Comunicações, 1001",Fortaleza,CE,60010-000,(85) 2345-6789,suporte@lojadecelulares.com.br,http://www.lojadecelulares.com.br,Eletrônicos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
27,Papelaria Central,"Rua dos Cadernos, 202",Recife,PE,50020-000,(81) 3456-7890,atendimento@papelariacentral.com.br,,Papelaria,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
28,Empório Gourmet,"Avenida dos Sabores, 303",Manaus,AM,69030-000,(92) 4567-8901,vendas@emporiogourmet.com.br,,Empório,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
29,Casa de Doces,"Rua das Delícias, 404",Curitiba,PR,80040-000,(41) 5678-9012,contato@casadedoces.com.br,,Doces,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
30,Loja de Brinquedos Diversão,"Rua das Crianças, 505",Porto Alegre,RS,90050-000,(51) 6789-0123,contato@brinquedosdiversao.com.br,,Brinquedos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
31,Loja de Instrumentos Musicais,"Avenida da Música, 606",Florianópolis,SC,88060-000,(48) 7890-1234,contato@lojademusica.com.br,,Instrumentos Musicais,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
32,Casa de Carnes,"Rua do Açougue, 707",Brasília,DF,70070-000,(61) 8901-2345,contato@casadecarnes.com.br,,Açougue,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-18:00,08:00-12:00
33,Loja de Decoração,"Avenida dos Decoradores, 808",Belo Horizonte,MG,31080-000,(31) 9012-3456,vendas@lojadedecoracao.com.br,,Decoração,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
34,Loja de Ferragens,"Rua das Ferragens, 909",São Paulo,SP,01009-000,(11) 0123-4567,vendas@lojadeferragens.com.br,,Ferragens,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-12:00,Fechado
35,Livraria Estudante,"Avenida dos Estudantes, 1010",Rio de Janeiro,RJ,22010-000,(21) 1234-5678,vendas@livrariaestudante.com.br,http://www.livrariaestudante.com.br,Livraria,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-16:00,Fechado
36,Loja de Cosméticos,"Rua da Beleza, 2020",Fortaleza,CE,60020-000,(85) 3456-7890,vendas@lojadecosmeticos.com.br,,Cosméticos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
37,Loja de Material Esportivo,"Avenida do Esporte, 3030",Recife,PE,50030-000,(81) 4567-8901,vendas@materialesportivo.com.br,,Material Esportivo,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
38,Loja de Presentes,"Rua dos Presentes, 4040",Manaus,AM,69040-000,(92) 5678-9012,vendas@lojadepresentes.com.br,,Presentes,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
39,Loja de Roupas Infantis,"Rua das Crianças, 5050",Curitiba,PR,80050-000,(41) 6789-0123,vendas@roupasinfantis.com.br,,Roupas Infantis,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
40,Loja de Eletrodomésticos,"Avenida dos Eletros, 6060",Porto Alegre,RS,90060-000,(51) 7890-1234,vendas@eletrodomesticos.com.br,,Eletrodomésticos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
41,Loja de Suplementos,"Rua da Saúde, 7070",Florianópolis,SC,88070-000,(48) 8901-2345,vendas@suplementos.com.br,,Suplementos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
42,Loja de Móveis,"Rua dos Móveis, 8080",Brasília,DF,70080-000,(61) 9012-3456,vendas@lojademoveis.com.br,http://www.lojademoveis.com.br,Móveis,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
43,Loja de Equipamentos de Informática,"Avenida da Tecnologia, 9090",Belo Horizonte,MG,31090-000,(31) 0123-4567,suporte@lojadeinformatica.com.br,http://www.lojadeinformatica.com.br,Informática,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
44,Loja de Produtos Naturais,"Rua da Natureza, 1010",São Paulo,SP,01010-000,(11) 1234-5678,vendas@produtosnaturais.com.br,,Produtos Naturais,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
45,Loja de Utensílios Domésticos,"Avenida dos Utensílios, 1111",Rio de Janeiro,RJ,22011-000,(21) 2345-6789,vendas@utensiliosdomesticos.com.br,,Utensílios Domésticos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
46,Loja de Bicicletas,"Rua das Bicicletas, 1212",Fortaleza,CE,60012-000,(85) 3456-7890,vendas@lojadebicicletas.com.br,,Bicicletas,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
47,Loja de Brinquedos Alegria,"Avenida das Crianças, 400",Fortaleza,CE,60010-000,(85) 3456-7890,contato@alegriabrinquedos.com.br,,Brinquedos,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-16:00,Fechado
48,Café e Companhia,"Rua do Café, 123",Salvador,BA,40010-000,(71) 2345-6789,contato@cafeecompanhia.com.br,,Cafeteria,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,08:00-18:00,08:00-14:00
49,Pet Shop Animalia,"Avenida dos Bichos, 321",Curitiba,PR,80020-000,(41) 4567-8901,contato@petshopanimalia.com.br,,Pet Shop,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,Fechado
50,Empório Dos Sabores,"Avenida dos Sabores, 670",Manaus,AM,69030-040,(92) 4567-8901,vendas@emporiodossabores.com.br,,Empório,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-14:00,Fechado
